TIME_PERIOD,geo,energy
2004,ZA,3.77E+06
2004,WA,2.34E+07
2004,WL,1.20E+07
2004,WE,9.55E+06
2004,WF,2.07E+07
2004,WM,1.90E+07
2005,AT,1.48E+06
2005,BE,2.95E+06
2005,BG,5.22E+05
2005,CY,3.67E+05
2005,CZ,1.63E+06
2005,DE,1.25E+07
2005,DK,1.46E+06
2005,EE,3.62E+05
2005,ES,7.14E+06
2005,FI,2.21E+06
2005,FR,9.10E+06
2005,GR,2.30E+06
2005,HR,9.63E+05
2005,HU,3.34E+06
2005,IE,1.27E+06
2005,IT,1.02E+07
2005,LT,6.78E+05
2005,LU,1.81E+05
2005,LV,3.72E+05
2005,MT,8.05E+04
2005,NL,5.67E+06
2005,PL,6.16E+06
2005,PT,1.20E+06
2005,RO,2.55E+06
2005,SE,1.76E+06
2005,SI,5.20E+05
2005,SK,2.63E+06
2005,GB,1.33E+07
2005,US,1.08E+08
2005,JP,2.30E+07
2005,CN,6.12E+07
2005,CA,1.55E+07
2005,KR,8.22E+06
2005,BR,8.85E+06
2005,IN,1.91E+07
2005,MX,7.35E+06
2005,RU,1.19E+07
2005,AU,1.32E+07
2005,CH,2.46E+06
2005,TR,4.21E+06
2005,TW,3.43E+06
2005,NO,3.21E+06
2005,ID,7.38E+06
2005,ZA,3.58E+06
2005,WA,2.54E+07
2005,WL,1.27E+07
2005,WE,1.03E+07
2005,WF,2.21E+07
2005,WM,1.92E+07
2006,AT,1.52E+06
2006,BE,3.02E+06
2006,BG,6.24E+05
2006,CY,2.63E+05
2006,CZ,3.49E+06
2006,DE,1.31E+07
2006,DK,1.35E+06
2006,EE,4.01E+05
2006,ES,6.93E+06
2006,FI,2.20E+06
2006,FR,8.87E+06
2006,GR,2.37E+06
2006,HR,9.53E+05
2006,HU,3.31E+06
2006,IE,1.42E+06
2006,IT,1.09E+07
2006,LT,7.34E+05
2006,LU,1.99E+05
2006,LV,3.91E+05
2006,MT,8.88E+04
2006,NL,5.54E+06
2006,PL,4.20E+06
2006,PT,1.19E+06
2006,RO,3.40E+06
2006,SE,1.69E+06
2006,SI,5.15E+05
2006,SK,2.90E+06
2006,GB,1.29E+07
2006,US,1.11E+08
2006,JP,2.22E+07
2006,CN,6.38E+07
2006,CA,1.54E+07
2006,KR,9.21E+06
2006,BR,9.64E+06
2006,IN,2.16E+07
2006,MX,7.81E+06
2006,RU,1.22E+07
2006,AU,1.39E+07
2006,CH,2.19E+06
2006,TR,4.58E+06
2006,TW,2.97E+06
2006,NO,3.19E+06
2006,ID,7.90E+06
2006,ZA,3.79E+06
2006,WA,2.62E+07
2006,WL,1.31E+07
2006,WE,1.09E+07
2006,WF,2.18E+07
2006,WM,1.97E+07
2007,AT,1.39E+06
2007,BE,2.23E+06
2007,BG,1.43E+06
2007,CY,2.68E+05
2007,CZ,3.16E+06
2007,DE,1.24E+07
2007,DK,1.42E+06
2007,EE,4.43E+05
2007,ES,6.72E+06
2007,FI,1.96E+06
2007,FR,8.33E+06
2007,GR,2.63E+06
2007,HR,7.83E+05
2007,HU,2.54E+06
2007,IE,1.27E+06
2007,IT,9.67E+06
2007,LT,6.76E+05
2007,LU,1.43E+05
2007,LV,4.51E+05
2007,MT,1.16E+05
2007,NL,5.92E+06
2007,PL,4.23E+06
2007,PT,1.10E+06
2007,RO,3.13E+06
2007,SE,1.77E+06
2007,SI,4.76E+05
2007,SK,2.20E+06
2007,GB,1.19E+07
2007,US,1.07E+08
2007,JP,2.01E+07
2007,CN,6.74E+07
2007,CA,1.50E+07
2007,KR,9.51E+06
2007,BR,1.05E+07
2007,IN,2.39E+07
2007,MX,7.66E+06
2007,RU,1.45E+07
2007,AU,1.48E+07
2007,CH,1.84E+06
2007,TR,4.78E+06
2007,TW,2.73E+06
2007,NO,3.27E+06
2007,ID,8.43E+06
2007,ZA,3.84E+06
2007,WA,3.26E+07
2007,WL,1.37E+07
2007,WE,9.79E+06
2007,WF,2.34E+07
2007,WM,2.31E+07
2008,AT,1.41E+06
2008,BE,3.79E+06
2008,BG,1.15E+06
2008,CY,1.68E+05
2008,CZ,3.50E+06
2008,DE,1.28E+07
2008,DK,1.37E+06
2008,EE,4.63E+05
2008,ES,6.72E+06
2008,FI,2.45E+06
2008,FR,9.09E+06
2008,GR,2.67E+06
2008,HR,8.31E+05
2008,HU,3.50E+06
2008,IE,1.35E+06
2008,IT,1.06E+07
2008,LT,8.84E+05
2008,LU,2.18E+05
2008,LV,5.52E+05
2008,MT,1.01E+05
2008,NL,5.44E+06
2008,PL,4.74E+06
2008,PT,1.25E+06
2008,RO,3.10E+06
2008,SE,1.78E+06
2008,SI,5.19E+05
2008,SK,2.60E+06
2008,GB,1.18E+07
2008,US,1.05E+08
2008,JP,2.24E+07
2008,CN,7.28E+07
2008,CA,1.47E+07
2008,KR,8.50E+06
2008,BR,1.20E+07
2008,IN,2.42E+07
2008,MX,7.56E+06
2008,RU,1.30E+07
2008,AU,1.32E+07
2008,CH,1.88E+06
2008,TR,4.60E+06
2008,TW,3.06E+06
2008,NO,2.87E+06
2008,ID,9.19E+06
2008,ZA,3.02E+06
2008,WA,2.57E+07
2008,WL,1.55E+07
2008,WE,1.41E+07
2008,WF,2.37E+07
2008,WM,2.47E+07
2009,AT,1.39E+06
2009,BE,2.75E+06
2009,BG,7.67E+05
2009,CY,1.81E+05
2009,CZ,2.44E+06
2009,DE,1.22E+07
2009,DK,1.26E+06
2009,EE,3.94E+05
2009,ES,6.03E+06
2009,FI,1.30E+06
2009,FR,8.30E+06
2009,GR,1.87E+06
2009,HR,6.54E+05
2009,HU,2.16E+06
2009,IE,1.05E+06
2009,IT,1.39E+07
2009,LT,5.91E+05
2009,LU,2.21E+05
2009,LV,4.53E+05
2009,MT,1.75E+05
2009,NL,6.15E+06
2009,PL,4.41E+06
2009,PT,1.15E+06
2009,RO,1.97E+06
2009,SE,1.57E+06
2009,SI,4.26E+05
2009,SK,1.81E+06
2009,GB,1.05E+07
2009,US,9.70E+07
2009,JP,1.80E+07
2009,CN,8.50E+07
2009,CA,1.61E+07
2009,KR,8.51E+06
